"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 19 11:57:37 CST 2022","Tue Apr 19 11:57:50 CST 2022","12302","","test_main","Test_Main","","","输入错误用户名正确密码登录失败",""
"passed","Tue Apr 19 11:57:01 CST 2022","Tue Apr 19 11:57:13 CST 2022","12229","","test_main","Test_Main","","","输入空的密码登录失败",""
"passed","Tue Apr 19 11:57:25 CST 2022","Tue Apr 19 11:57:37 CST 2022","11728","","test_main","Test_Main","","","输入错误密码登录失败",""
"passed","Tue Apr 19 11:56:49 CST 2022","Tue Apr 19 11:57:01 CST 2022","11740","","test_main","Test_Main","","","输入空的用户名登录失败",""
"passed","Tue Apr 19 11:57:13 CST 2022","Tue Apr 19 11:57:25 CST 2022","11994","","test_main","Test_Main","","","使用空的用户名密码登录失败",""
"passed","Tue Apr 19 11:56:38 CST 2022","Tue Apr 19 11:56:49 CST 2022","11873","","test_main","Test_Main","","","输入正确用户名密码登录成功",""
